业务单号,购买方名称,购买方税号,项目,含税金额,税率,票种
E2-B001, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B002, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B003, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B004, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B005, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B006, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B007, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B008, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B009, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B010, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B011, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B012, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B013, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B014, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B015, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B016, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B017, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
E2-B018,无效金额,914403001234567890,技术服务,10O.00,0.06,数电普票
E2-B019,错误税号,bad,技术服务,106.00,0.06,数电普票
E2-B001, 示例客户 ,914403001234567890,技术服务,106.00,0.06,数电普票
